Date,Max_Temperature,Avg_Temperature,Min_Temperature,Max_Dew_Point,Avg_Dew_Point,Min_Dew_Point,Max_Humidity,Avg_Humidity,Min_Humidity,Max_Wind_Speed,Avg_Wind_Speed,Min_Wind_Speed,Max_Pressure,Avg_Pressure,Min_Pressure,Total_Precipitation
9/5/2014,31,27.3,24,25,24.2,23,100,84.3,66,19,10.7,0,959.4,956.9,954.6,0
9/6/2014,31,28.4,24,24,23.6,23,94,75.7,62,15,7.6,2,961.3,959.6,958.4,0
9/7/2014,32,28.4,26,25,24.1,23,89,78,62,13,8.1,0,962.2,960.7,959.4,0
9/8/2014,32,28.8,27,26,25.1,24,89,80.6,66,17,10.3,6,961.3,959.8,958.4,0
9/9/2014,33,28.6,26,26,24.9,24,94,81.3,63,13,9.2,0,960.3,959.5,958.4,0
9/10/2014,34,27.3,24,25,24,23,94,83.2,59,26,9.4,0,961.3,959.9,958.4,0
9/11/2014,29,25.6,23,24,23.6,23,100,89.4,70,20,5,0,963.2,962.3,961.3,0
9/12/2014,32,27.2,24,24,22.9,22,100,78.5,59,11,5.4,0,964.1,962.3,960.3,0
9/13/2014,32,29.3,24,24,23.7,23,94,72.7,62,19,14.3,6,963.2,961.4,959.4,0
9/14/2014,33,28.8,26,24,22.9,21,84,71,59,17,8.2,0,963.2,961.9,960.3,0
9/15/2014,32,28.8,27,24,22.9,21,79,71.2,55,19,9.4,0,964.1,961.7,960.3,0
9/16/2014,34,30,26,33,22.9,22,83,61.8,0,15,11.8,7,963.2,960.5,958.4,0
9/17/2014,34,29.6,26,23,22,21,83,64.2,49,17,12.3,7,962.2,960.6,959.4,0
9/18/2014,34,29.1,22,23,21.4,21,100,64.2,46,19,11.3,0,963.2,962.1,960.3,0
9/19/2014,34,29.1,26,22,20.2,17,74,59.9,36,20,12.9,6,964.1,962,959.4,0
9/20/2014,34,29,25,21,19.5,17,74,57.6,36,19,12.7,7,963.2,960.9,958.4,0
9/21/2014,34,29,24,22,19.9,19,78,58.9,41,20,11.9,7,963.2,961.9,960.3,0
9/22/2014,34,28.9,24,21,18.6,14,78,56.3,30,19,11.8,4,965.1,963.4,961.3,0
9/23/2014,34,28.3,24,20,19.6,19,78,60.1,41,19,13,7,965.1,963.2,961.3,0
9/24/2014,34,28.9,24,20,18.7,17,73,55,36,17,11,6,966,964.3,962.2,0
9/25/2014,33,29.1,24,20,18.6,17,78,54.1,38,17,9,6,967,965.4,964.1,0
9/26/2014,39,29.5,25,20,18,16,74,51.2,29,17,9.6,2,968,966.2,964.1,0
9/27/2014,34,29.3,24,19,17,14,69,48.6,34,19,9.3,6,968.9,967,966,0
9/28/2014,35,29.7,25,19,16.5,14,61,46.2,30,17,9.9,4,969.9,967.4,966,0
9/29/2014,35,30.1,25,18,15.8,12,65,43.6,26,15,8.9,4,968.9,966.6,965.1,0
9/30/2014,35,31,25,19,16.1,14,65,41.9,28,19,8.8,4,968.9,967,965.1,0
10/1/2014,35,31.1,26,19,16.9,15,61,43.2,30,15,8.1,4,969.9,967.6,966,0
10/2/2014,36,30.9,26,18,15.7,13,58,40.5,27,19,9,6,969.9,966.6,965.1,0
10/3/2014,36,30.4,26,18,15.5,13,57,41.6,25,17,9.3,4,968,965.7,964.1,0
10/4/2014,36,31.1,27,16,14.1,13,45,36,26,17,9.2,6,968,966,965.1,0
10/5/2014,37,31.7,27,15,13.2,9,48,33.3,19,15,8.9,4,969.9,967.6,966,0
10/6/2014,36,31,25,16,13,11,57,34.9,22,15,6.7,0,969.9,966.6,965.1,0
10/7/2014,36,29.8,25,20,16.4,14,74,46.7,27,9,6.4,0,967,965,962.2,0
10/8/2014,35,29,24,23,17.1,12,74,50,32,22,10.9,0,968,966.1,963.2,0
10/9/2014,34,28.7,23,17,15.4,13,65,45.5,28,19,5,0,968.9,966.5,965.1,0
10/10/2014,35,28.4,22,17,12.5,8,69,39.7,20,9,4.4,0,968,965.4,964.1,0
10/11/2014,35,28.8,24,15,9.7,3,53,33,13,13,5.8,0,966,924.1,0,0
10/12/2014,34,27.9,23,15,10.6,7,57,35.7,19,13,7.9,0,967,965.3,963.2,0
10/13/2014,33,26.8,23,20,16.8,11,83,57,31,22,14.3,9,967,965,963.2,0
10/14/2014,30,25.1,22,20,19.1,18,88,70,48,20,11.5,4,968.9,966.7,963.2,0
10/15/2014,29,24.4,21,20,18.6,17,94,71.3,51,20,10.1,0,971.8,970.1,968,0
10/16/2014,30,25.1,20,20,17.1,13,94,61.8,48,11,5.9,0,970.8,969.3,968,0
10/17/2014,31,24,0,14,12.4,0,64,46.4,0,13,5.4,0,971.8,927.2,0,0
10/18/2014,32,25.3,18,14,9.3,5,68,39.3,19,9,4.3,0,970.8,968.5,967,0
10/19/2014,32,25.1,19,12,9.6,6,60,40.5,20,13,5.1,0,969.9,968.4,967,0
10/20/2014,33,26,19,15,10.2,6,61,40,18,9,3,0,971.8,969.8,968,0
10/21/2014,34,27.2,21,14,11.2,8,60,39.3,20,9,4.4,0,972.7,970.4,965.1,0
10/22/2014,34,28.2,20,14,10.6,7,60,35.3,19,15,6.8,0,973.7,969.9,968,0
10/23/2014,35,28.8,21,15,11.4,7,64,36,19,15,6.4,0,970.8,968.3,966,0
10/24/2014,34,27.9,24,14,12,10,47,37.9,23,13,6,0,968.9,967.3,966,0
10/25/2014,34,27.3,22,14,11.6,9,60,39,24,30,10.7,0,968.9,967.8,965.1,0
10/26/2014,31,26,21,16,14,12,60,48.1,33,13,7.8,0,971.8,970.3,968.9,0
10/27/2014,31,25.5,20,14,13.1,10,68,47.5,27,9,3,0,972.7,969.4,968,0
10/28/2014,33,25.9,20,15,11.9,8,68,44.2,21,17,6.3,0,969.9,968,966,0
10/29/2014,32,27.4,20,14,11.9,10,64,39.5,27,15,6.5,0,970.8,968.6,967,0
10/30/2014,33,26.9,20,14,11.3,7,64,39.3,20,13,3.7,0,969.9,968.1,966,0
10/31/2014,30,26.2,22,14,12.9,10,60,44.1,30,9,4.1,0,971.8,915.8,0,0
11/1/2014,29,24.4,18,12,10.4,7,64,42.5,25,9,3.3,0,972.7,970.5,968.9,0
11/2/2014,31,25.2,18,12,8.3,5,59,36.8,19,11,3.2,0,972.7,970.7,968.9,0
11/3/2014,32,26.2,19,12,9.9,7,56,37.6,22,13,4.5,0,972.7,969.6,968,0
11/4/2014,31,26.6,21,14,12.1,10,60,41.3,31,11,4.8,0,970.8,968.4,966,0
11/5/2014,32,26.7,19,15,10.6,8,68,39,24,20,7.1,0,970.8,968.5,967,0
11/6/2014,31,24.8,19,14,12.1,10,64,47,29,11,2.9,0,970.8,968.1,966,0
11/7/2014,32,25.7,20,15,12.3,10,64,45.3,27,11,3,0,970.8,969,967,0
11/8/2014,32,25.5,19,14,11.7,8,73,44.9,22,9,3.1,0,971.8,970.3,968.9,0
11/9/2014,31,25.9,21,14,13,10,60,46,29,11,4.3,0,972.7,971,969.9,0
11/10/2014,30,24.3,18,13,10,8,59,41.2,25,11,4.3,0,972.7,969.4,968,0
11/11/2014,30,22.8,17,10,6.8,3,63,37,23,11,3.9,0,971.8,969.7,968,0
11/12/2014,29,22,16,10,5.4,2,48,35,23,11,3.6,0,972.7,970.8,968.9,0
11/13/2014,29,23.3,16,8,7.2,6,52,37.4,23,11,4.6,0,973.7,971.5,969.9,0
11/14/2014,29,22.3,16,7,3.9,0,55,31.6,18,11,4.8,0,973.7,971.4,969.9,0
11/15/2014,29,19.7,13,3,0.1,-8,47,30.5,8,7,2,0,972.7,970.3,968.9,0
11/16/2014,29,20.7,12,3,-0.7,-7,51,28.4,10,7,3.6,0,972.7,970.8,968.9,0
11/17/2014,29,20.5,12,7,2.2,-3,54,33.8,13,7,3,0,973.7,971.2,969.9,0
11/18/2014,28,20.2,12,7,3.2,-2,63,36.8,14,13,3.9,0,974.6,972.4,970.8,0
11/19/2014,28,21,14,7,3.7,-1,63,36,15,9,3.4,0,974.6,971.3,969.9,0
11/20/2014,29,20.9,12,8,5.3,0,62,40.1,15,11,2.8,0,972.7,969.9,968,0
11/21/2014,29,21.2,14,8,3.6,0,63,35,15,11,4.2,0,971.8,969.1,968,0
11/22/2014,29,21.6,14,8,5.1,1,55,36.9,16,11,3.6,0,970.8,968.5,966,0
11/23/2014,29,22.6,15,6,3.5,1,48,30.4,17,13,5.1,0,971.8,969.6,968,0
11/24/2014,28,19.9,14,6,3,1,51,34.7,17,11,4.2,0,972.7,970.7,968.9,0
11/25/2014,27,19.8,13,6,2.9,0,55,35.3,17,9,4.3,0,973.7,970,967,0
11/26/2014,28,20.9,14,5,1.6,-4,55,31.9,12,11,4.1,0,969.9,966.9,965.1,0
11/27/2014,30,21.8,15,9,5.3,1,63,38.1,15,13,3.6,0,968.9,967.2,966,0
11/28/2014,31,22.4,15,13,10.2,7,77,49.3,22,13,4,0,969.9,968,966,0
11/29/2014,30,24.8,17,14,12.7,11,72,49.1,31,11,5.6,0,969.9,968,966,0
11/30/2014,29,27.3,24,13,8.6,5,47,31.3,23,13,8.4,4,971.8,969.5,968,0
12/1/2014,29,22.8,16,9,5.3,3,48,33.3,20,13,6.1,0,972.7,970.2,968.9,0
12/2/2014,28,21.8,15,7,4.6,0,59,34.7,16,17,5.2,0,972.7,970.8,969.9,0
12/3/2014,28,22.6,15,7,4.9,3,59,33.6,20,15,6.8,0,972.7,970,968,0
12/4/2014,29,22,14,9,6.1,3,63,38.4,20,13,5,0,972.7,971.4,969.9,0
12/5/2014,28,20.9,14,8,5,2,67,38.8,20,13,3.8,0,974.6,972.5,970.8,0
12/6/2014,28,19.3,12,8,5.4,1,72,44.8,17,13,3.6,0,974.6,972,969.9,0
12/7/2014,26,19.9,12,7,3.9,0,67,38.8,18,76,6.3,0,972.7,970.3,968.9,0
12/8/2014,27,18.9,12,8,3.3,-4,67,41.3,14,11,3.5,0,971.8,970,968.9,0
12/9/2014,26,19.5,11,6,4.1,-1,71,40.3,17,9,3,0,972.7,971,969.9,0
12/10/2014,24,18.7,13,7,4.4,-5,58,40.2,25,15,7.7,0,973.7,972,969.9,0
12/11/2014,24,18.2,12,-2,-4.7,-7,35,22.1,12,13,7.7,6,973.7,971.5,969.9,0
12/12/2014,21,17.1,12,4,0.8,-4,48,34.4,20,22,13.8,0,973.7,970.2,960.3,0
12/13/2014,20,16.1,13,15,11.3,5,94,74.3,48,28,14.6,2,970.8,969.1,967,0
12/14/2014,16,13.9,12,14,13.1,12,100,94.8,82,9,5.6,0,971.8,970.5,968.9,0
12/15/2014,18,13.4,9,14,12,9,100,92.6,68,9,4,0,975.6,973.6,971.8,0
12/16/2014,21,14.1,8,14,9.3,4,100,77.6,33,7,2,0,977.5,975.5,973.7,0
12/17/2014,21,14.2,8,8,4.9,0,100,59.2,25,11,3.1,0,977.5,974.3,972.7,0
12/18/2014,21,13.9,7,7,4.8,2,87,58.8,28,7,2.2,0,976.5,975.1,973.7,0
12/19/2014,23,16.5,9,8,5.3,2,82,51.1,27,9,4.4,0,977.5,975.2,973.7,0
12/20/2014,23,15.2,8,8,3.5,-3,87,52.8,20,11,2.6,0,975.6,972.4,969.9,0
12/21/2014,21,14.6,6,9,6.2,4,100,62.6,33,11,6.5,0,973.7,970.7,968.9,0
12/22/2014,19,12.7,8,10,7.9,3,100,76.8,35,15,9.6,6,972.7,969.9,968,0
12/23/2014,20,14.6,6,11,9.8,6,100,75,52,13,7.6,0,971.8,970.4,968.9,0
12/24/2014,21,13.9,8,11,9.4,8,100,77.6,43,13,5.7,0,975.6,973.5,971.8,0
12/25/2014,22,13.8,8,11,4.3,-1,100,59.5,22,13,4.8,0,975.6,932.6,0,0
12/26/2014,22,15.1,7,7,1.2,-5,100,47.1,16,13,5.9,0,974.6,972,969.9,0
12/27/2014,23,15.3,7,5,-0.3,-7,76,41,13,15,6.1,0,973.7,972.1,970.8,0
12/28/2014,22,14.5,8,2,-1.6,-8,66,38.2,13,13,5.3,0,975.6,973.1,971.8,0
12/29/2014,21,12.9,6,8,2.5,-2,93,53.5,26,11,5.8,0,973.7,970.5,968,0
12/30/2014,19,12.7,6,7,5.3,4,93,63.9,37,17,7.2,0,970.8,968.4,966,0
12/31/2014,18,12.3,7,10,7.9,6,100,77.7,45,15,12.9,11,970.8,969.4,968,0
1/1/2015,20,16.4,13,12,10.6,9,82,69.1,60,20,10.2,0,972.7,971,969.9,0
1/2/2015,16,14.7,14,15,14,12,100,96.3,82,20,7.1,0,972.7,971.6,970.8,0
1/3/2015,18,15.1,12,16,14.4,12,100,95.8,77,7,2.1,0,973.7,971.9,970.8,0
1/4/2015,22,14,9,12,9.4,5,100,79.5,35,15,3.9,0,975.6,973.8,972.7,0
1/5/2015,24,16.5,9,10,8,4,100,62.2,29,17,6,0,973.7,971.4,969.9,0
1/6/2015,24,16,10,10,7.7,4,94,62.8,27,17,3.8,0,971.8,969.5,968,0
1/7/2015,23,15.1,8,12,8.9,6,100,71.4,33,13,4.5,0,970.8,969.7,968,0
1/8/2015,23,14.5,8,11,7.8,-2,100,70,19,13,5.3,0,973.7,972.3,969.9,0
1/9/2015,24,15,7,11,8,0,100,70.3,22,13,4.7,0,975.6,973.4,971.8,0
1/10/2015,25,16.6,9,10,6.5,3,100,56.8,24,13,5.2,0,974.6,972.6,970.8,0
1/11/2015,25,17.9,9,9,3.7,-2,82,45.3,18,13,8.1,0,973.7,972.2,970.8,0
1/12/2015,21,14.1,7,12,10.4,7,100,80,49,13,8.9,4,974.6,972.2,970.8,0
1/13/2015,22,14,7,10,8.7,7,100,73.5,43,13,9.4,2,973.7,970.1,967,0
1/14/2015,21,14.4,9,13,10.7,9,100,81.2,49,13,7.7,0,972.7,970.7,967,0
1/15/2015,20,13.4,9,11,10.1,9,100,82.8,49,9,5.4,0,975.6,973.4,971.8,0
1/16/2015,19,14.4,9,11,7.9,5,100,67.7,45,13,5.7,0,975.6,973.5,971.8,0
1/17/2015,21,14.3,8,10,8,4,100,69.8,33,9,4.4,0,975.6,973.6,971.8,0
1/18/2015,22,14.8,8,10,5.4,0,100,59.6,23,9,4.4,0,974.6,972.4,970.8,0
1/19/2015,22,14.8,9,8,6.4,4,87,61.6,31,11,6.6,2,974.6,972.4,970.8,0
1/20/2015,21,15.2,10,10,6.5,4,88,60.1,35,20,14.8,6,974.6,972.4,970.8,0
1/21/2015,21,15.1,11,14,11.3,10,100,80,53,22,15.8,7,975.6,973.5,971.8,0
1/22/2015,16,14.4,13,16,14.4,13,100,100,100,20,11.3,0,974.6,973.5,971.8,0
1/23/2015,17,14.8,14,14,13.5,13,100,92.4,77,9,4.5,0,975.6,973.7,971.8,0
1/24/2015,19,15,11,14,12.3,10,100,85.8,56,13,5.7,0,976.5,974.1,972.7,0
1/25/2015,18,13.6,11,13,11.9,11,100,90.4,64,11,7.8,2,975.6,973.8,971.8,0
1/26/2015,17,13.4,11,13,12.4,11,100,93.8,72,11,5.6,0,975.6,973.6,971.8,0
1/27/2015,18,13.8,9,12,7.6,2,100,69.6,37,13,5.8,0,975.6,973.4,971.8,0
1/28/2015,18,12.5,6,8,2.1,-5,100,55.2,21,11,6.6,0,974.6,972.1,969.9,0
1/29/2015,20,14.1,6,6,2,-1,87,48.3,24,11,5.8,0,975.6,973.6,971.8,0
1/30/2015,20,13.5,7,8,3.1,-2,93,55.3,23,15,5.8,0,977.5,974.8,972.7,0
1/31/2015,23,17.3,8,7,3.2,0,76,42.5,22,13,6.2,0,974.6,972.5,969.9,0
2/1/2015,23,17.7,11,10,7.1,4,72,52.2,31,20,14.8,7,972.7,970.7,968.9,0
2/2/2015,24,18.4,14,13,10.3,8,88,60.7,38,20,14.9,7,971.8,970.3,968.9,0
2/3/2015,23,17.2,13,14,11,8,94,68.4,38,17,6.7,0,977.5,975.5,970.8,0
2/4/2015,22,16.3,10,11,5.6,-1,100,55,22,17,7.1,0,979.4,976,973.7,0
2/5/2015,24,16.6,9,8,1.7,-9,87,43.8,11,11,5.7,0,976.5,973.3,971.8,0
2/6/2015,22,17.4,13,8,5.8,2,63,48.1,27,19,11.3,6,975.6,972.8,970.8,0
2/7/2015,24,18.5,14,8,6.8,2,63,48,24,24,13.2,7,973.7,970.5,968.9,0
2/8/2015,24,18.6,15,14,9.4,6,64,55.8,41,20,12.2,2,973.7,971.7,969.9,0
2/9/2015,24,18.6,15,10,8.1,5,72,52.4,29,15,7.9,0,976.5,974.2,972.7,0
2/10/2015,24,18,12,9,6.8,5,77,51,29,13,5.5,0,977.5,973.7,970.8,0
2/11/2015,24,18.1,0,11,7.9,0,82,51.1,0,15,6.5,0,973.7,971.3,969.9,0
2/12/2015,24,17.7,12,7,3.2,-4,67,42.2,16,13,5.3,0,972.7,970.5,968.9,0
2/13/2015,28,20.3,12,9,5.7,2,72,42.3,19,17,7.2,0,971.8,968.4,965.1,0
2/14/2015,30,23.2,14,12,6.9,2,77,38.3,17,28,13.3,0,968,965.9,963.2,0
2/15/2015,30,22.9,15,13,8.1,0,88,43.1,15,13,7.4,2,969.9,967.9,966,0
2/16/2015,29,21.9,16,15,10.8,8,78,51.1,27,19,12.2,6,970.8,967.4,965.1,0
2/17/2015,31,24.1,17,17,12.4,7,94,53.3,22,15,8.5,0,968.9,966.5,964.1,0
2/18/2015,29,22.7,17,18,14.5,12,94,62.5,35,11,5.9,0,969.9,966.8,965.1,0
2/19/2015,31,23.2,0,13,10.3,0,77,44.1,0,15,7.9,0,968.9,966.8,965.1,0
2/20/2015,31,24.6,18,13,10,4,73,43.6,18,15,7.2,0,970.8,968.5,967,0
2/21/2015,32,25.6,18,15,9.8,4,78,40.5,19,15,6.8,0,971.8,969.9,968,0
2/22/2015,31,24.8,18,81,10.6,2,64,36.1,0,20,8.6,0,971.8,969.8,968,0
2/23/2015,35,25,19,14,9.8,2,73,41.4,15,11,5.9,0,972.7,969.7,967,0
2/24/2015,30,24.2,19,13,10.9,8,60,44.6,27,11,6.2,0,969.9,965.9,963.2,0
2/25/2015,29,24.3,16,12,4.3,-8,56,29.1,15,26,13.2,0,966,964.3,962.2,0
2/26/2015,25,20.2,15,-1,-6,-8,31,17.3,12,15,7.9,0,967,965.6,964.1,0
2/27/2015,26,20.7,15,4,-0.3,-6,39,26.2,13,17,9.3,2,968.9,967.5,966,0
2/28/2015,26,21.7,17,13,7.2,3,64,40.4,26,26,18.4,6,969.9,967.2,965.1,0
3/1/2015,19,16.5,16,18,16.1,14,100,98,88,22,12.6,7,965.1,964,962.2,0
3/2/2015,23,18.2,15,16,14.7,11,100,81,50,15,8,0,968.9,967.5,965.1,0
3/3/2015,23,18.4,14,15,8,1,100,56.1,25,17,6.5,0,970.8,968.5,967,0
3/4/2015,25,20.1,14,12,7.7,2,88,48.5,24,17,8.8,0,970.8,969,967,0
3/5/2015,26,20.9,14,10,7.4,3,77,44.3,23,13,9,4,971.8,970.1,968.9,0
3/6/2015,28,22.1,15,13,8.5,5,73,44.4,23,17,8.7,0,973.7,971.1,968.9,0
3/7/2015,29,22.5,17,14,11.2,6,82,52.6,26,20,10.8,4,969.9,968,966,0
3/8/2015,28,22.3,17,15,5.9,-2,83,39,15,19,9.7,2,971.8,969.9,968,0
3/9/2015,25,19.7,13,7,-0.7,-7,67,29.1,12,19,11.1,4,977.5,975.1,972.7,0
3/10/2015,26,18.6,12,8,4.4,-1,77,43.4,17,11,5.7,0,976.5,973.9,971.8,0
3/11/2015,29,21.8,13,10,7.3,4,72,41.9,21,19,8.1,2,975.6,928.4,0,0
3/12/2015,30,24.6,17,14,11.1,7,64,44.4,30,17,8.6,2,974.6,971.1,968.9,0
3/13/2015,29,23.8,20,14,12.9,11,68,52.1,35,19,10.2,2,970.8,969.4,968,0
3/14/2015,20,17.3,15,18,15.9,15,100,91.9,78,39,13.4,4,973.7,926.9,0,0
3/15/2015,19,17.3,15,18,16.8,15,100,97,88,20,15.6,9,971.8,920.8,0,0
3/16/2015,25,19.6,15,18,16.3,15,100,83,54,15,7.8,0,972.7,971.4,968.9,0
3/17/2015,27,21.2,16,17,12.7,8,100,62,30,17,8.4,2,974.6,971.8,968,0
3/18/2015,27,21.5,16,14,10.9,6,88,54.5,26,19,7.6,0,971.8,969.5,968,0
3/19/2015,29,22.9,16,16,11.2,8,78,50.5,27,9,5.6,0,972.7,970.1,968.9,0
3/20/2015,31,25.4,18,12,10.3,8,68,40.2,25,13,8.3,6,972.7,970.4,968.9,0
3/21/2015,33,27.9,21,14,11.7,10,60,38.3,24,13,7.3,2,972.7,970.1,968,0
3/22/2015,33,27.9,20,16,12.4,3,78,40.5,23,17,7.5,0,971.8,968.9,966,0
3/23/2015,34,27.5,21,17,12.1,8,68,40.4,20,19,6.7,0,968.9,966.5,965.1,0
3/24/2015,36,29.7,22,13,10.3,7,57,32.1,17,13,7.7,4,968.9,966.5,964.1,0
3/25/2015,37,31,25,13,11.1,7,44,30.3,17,17,10.3,6,969.9,968.1,966,0
3/26/2015,35,29.2,23,15,13.2,12,61,38.4,25,28,11,4,971.8,969.6,968,0
3/27/2015,36,29,22,15,12.8,9,64,39.3,20,15,6.2,0,970.8,968.5,966,0
3/28/2015,36,30.4,23,15,13.1,11,61,36.2,22,15,8.3,2,968.9,965.1,963.2,0
3/29/2015,35,27.9,0,18,12.2,0,65,37.6,0,20,10.8,4,966,963.4,961.3,0
3/30/2015,33,28.9,22,19,14.2,6,73,43.8,18,28,17,7,966,963.6,960.3,0
3/31/2015,31,26.9,20,19,15.8,10,88,54.4,29,19,7.9,2,968,965.4,964.1,0
4/1/2015,34,28.8,22,18,11.8,8,78,37.5,20,15,7.8,0,966,963,961.3,0
4/2/2015,35,30.2,23,16,14,12,61,38,28,22,9.3,0,964.1,960,958.4,0
4/3/2015,34,28.3,19,18,13.3,8,88,44.8,20,26,14,0,962.2,959.8,958.4,0
4/4/2015,28,25.1,20,19,15.2,13,94,55.7,39,13,9.2,2,962.2,960.5,959.4,0
4/5/2015,29,23.2,19,19,17.2,13,100,71.4,39,13,6.3,0,965.1,930.3,0,0
4/6/2015,31,26.8,20,18,12.6,9,83,43.7,27,30,8,0,966,963.6,962.2,0
4/7/2015,30,25.9,20,18,14.1,11,88,51.3,31,20,8.9,2,967,965.6,964.1,0
4/8/2015,33,28.3,21,16,9.2,2,64,33.4,14,13,7.3,0,969.9,967.5,966,0
4/9/2015,39,27.5,20,13,9.5,3,64,35.9,14,15,6.2,0,968.9,966.9,965.1,0
4/10/2015,35,29.4,22,13,5.8,-2,57,25.7,10,15,6.5,0,968,965.1,964.1,0
4/11/2015,35,26.1,22,17,12.1,6,73,45.7,16,19,7.9,0,967,921.7,0,0
4/12/2015,27,23.8,21,18,14.8,12,78,58.2,42,17,7.9,0,968.9,968,967,0
4/13/2015,30,24.2,21,17,15.1,13,73,58.1,35,26,15,6,969.9,968.5,966,0
4/14/2015,30,25.6,21,17,15.5,13,78,55.4,35,24,13.1,7,970.8,967.9,965.1,0
4/15/2015,32,27.7,23,17,15.3,13,69,48.1,31,19,11.6,6,970.8,937.8,0,0
4/16/2015,33,29.3,22,16,13.8,12,69,39.5,31,20,10.4,0,971.8,969.5,967,0
4/17/2015,38,31,0,16,12.2,0,57,31.9,0,17,7.7,0,968.9,930.1,0,0
4/18/2015,40,33.9,26,15,10.6,6,51,26.7,13,20,8.3,0,962.2,959.5,957.5,0
4/19/2015,40,34.1,26,15,11.4,7,47,26.8,15,13,6.4,0,963.2,961.3,959.4,0
4/20/2015,40,34.5,30,12,3.8,0,23,15.4,8,31,13.7,4,966,963.3,961.3,0
4/21/2015,39,32.5,26,14,5.6,-1,35,20.4,9,19,9,0,965.1,963.1,960.3,0
4/22/2015,39,32.7,25,9,4.2,0,36,18.7,9,19,7.5,0,963.2,960.8,958.4,0
4/23/2015,39,33,24,9,1.6,-5,36,15.3,6,15,7.3,0,962.2,928.3,0,0
4/24/2015,40,33.5,25,7,0.8,-5,29,14.3,6,17,7.7,0,964.1,961.5,960.3,0
